"","mmgene","type","alias"
"1","Aaed1","old symbol","Prxl2c"
"2","Aars","old symbol","Aars1"
"4","Acpp","old symbol","Acp3"
"6","Adprhl2","old symbol","Adprs"
"7","Adra1a","synonym","Adra1d"
"8","Adss","old symbol","Adss2"
"9","Adssl1","old symbol","Adss1"
"10","Aes","old symbol","Tle5"
"13","Akr1b3","old symbol","Akr1b1"
"15","Als2cr12","old symbol","Flacc1"
"16","Amd1","synonym","Artmd1"
"18","Ankrd36","old symbol","Ankrd48"
"20","Apitd1","old symbol","Cenps"
"21","Apoo","old symbol","Apoo-ps"
"22","Apopt1","old symbol","Coa8"
"28","Arnt","synonym","D3Umi11"
"29","Arntl","old symbol","Bmal1"
"30","Arntl2","old symbol","Bmal2"
"32","Asna1","old symbol","Get3"
"34","Atp5a1","old symbol","Atp5f1a"
"35","Atp5b","old symbol","Atp5f1b"
"36","Atp5c1","old symbol","Atp5f1c"
"37","Atp5d","old symbol","Atp5f1d"
"38","Atp5e","old symbol","Atp5f1e"
"39","Atp5f1","old symbol","Atp5pb"
"40","Atp5g1","old symbol","Atp5mc1"
"41","Atp5g2","old symbol","Atp5mc2"
"42","Atp5g3","old symbol","Atp5mc3"
"43","Atp5h","old symbol","Atp5pd"
"44","Atp5j","old symbol","Atp5pf"
"45","Atp5j2","old symbol","Atp5mf"
"46","Atp5l","old symbol","Atp5mg"
"47","Atp5o","old symbol","Atp5po"
"48","Atp5s","old symbol","Dmac2l"
"49","Atp5sl","old symbol","Dmac2"
"51","Atpif1","old symbol","Atp5if1"
"53","B3gnt6","old symbol","B4gat1"
"57","Bcr","related synonym","Ighm"
"60","Bod1","old symbol","Bodq1"
"61","Braf","old symbol","Braf-rs1"
"66","Btbd11","old symbol","Abtb3"
"68","C3","synonym","Rr231604"
"70","C77080","old symbol","Nhsl3"
"72","Cad","old symbol","Cgct"
"80","Cars","old symbol","Cars1"
"81","Casc1","old symbol","Dnai7"
"82","Casc4","old symbol","Golm2"
"85","Cbwd1","old symbol","Zng1"
"86","Ccdc114","old symbol","Odad1"
"87","Ccdc121","old symbol","Ccdc121rt1"
"88","Ccdc129","old symbol","Itprid1"
"89","Ccdc130","old symbol","Yju2b"
"90","Ccdc144b","old symbol","Gm57858"
"91","Ccdc151","old symbol","Odad3"
"92","Ccdc155","old symbol","Kash5"
"93","Ccdc173","old symbol","Cfap210"
"94","Ccdc36","old symbol","Iho1"
"95","Ccdc58","old symbol","Mix23"
"96","Ccdc84","old symbol","Cenatac"
"97","Ccdc94","old symbol","Yju2"
"99","Ccr4","old symbol","Noct"
"100","Cd163l1","old symbol","Scart1"
"102","Cd300c","old symbol","Cd300c2"
"103","Cd3eap","old symbol","Polr1g"
"107","Chka","synonym","Atp12a"
"109","Cklf","old symbol","Cmtm2a"
"110","Clca1","old symbol","Clca3a1"
"111","Clca2","old symbol","Clca3a2"
"114","Cnr1","synonym","Pcdha4"
"115","Cnr2","synonym","Pcdha6"
"116","Col4a3bp","old symbol","Cert1"
"118","Cr2","synonym","Defa2"
"121","Ctage5","old symbol","Mia2"
"122","Ctgf","old symbol","Ccn2"
"123","Ctps","old symbol","Ctps1"
"124","Cyhr1","old symbol","Zftraf1"
"125","Cyr61","old symbol","Ccn1"
"127","Dars","old symbol","Dars1"
"128","Dbp","synonym","Gc"
"130","Dcp2","old symbol","Dxcp2"
"132","Ddx58","old symbol","Rigi"
"134","Dfna5","old symbol","Gsdme"
"135","Dfnb59","old symbol","Pjvk"
"136","Dgcr14","old symbol","Ess2"
"138","Diexf","old symbol","Utp25"
"139","Dirc2","old symbol","Slc49a4"
"140","Disp1","synonym","Prss30"
"142","Dmc1","synonym","Dbmc1"
"143","Dmd","synonym","Rr27"
"145","Dopey1","old symbol","Dop1a"
"146","Dopey2","old symbol","Dop1b"
"147","Dr1","synonym","Tg(HLA-DRA*0101,HLA-DRB1*0101)1Dmz"
"150","Dscr3","old symbol","Vps26c"
"151","Dsp","synonym","Dspp"
"152","Dusp13","old symbol","Dusp13b"
"153","Dusp27","old symbol","Styxl2"
"154","Dyx1c1","old symbol","Dnaaf4"
"155","Ecm1","synonym","D3Umi25"
"157","Efcab1","old symbol","Clxn"
"161","Elmsan1","old symbol","Mideas"
"165","En1","synonym","Rr273"
"166","Eprs","old symbol","Eprs1"
"168","F3","synonym","Or1x2"
"170","Fam102a","old symbol","Eeig1"
"171","Fam102b","old symbol","Eeig2"
"172","Fam103a1","old symbol","Ramac"
"173","Fam104a","old symbol","Vcf1"
"174","Fam105a","old symbol","Otulinl"
"175","Fam109a","old symbol","Pheta1"
"176","Fam109b","old symbol","Pheta2"
"177","Fam122a","old symbol","Pabir1"
"178","Fam122b","old symbol","Pabir2"
"179","Fam122c","old symbol","Pabir3"
"180","Fam126a","old symbol","Hycc1"
"181","Fam126b","old symbol","Hycc2"
"182","Fam129a","old symbol","Niban1"
"183","Fam129b","old symbol","Niban2"
"184","Fam129c","old symbol","Niban3"
"185","Fam155a","old symbol","Nalf1"
"186","Fam159a","old symbol","Shisal2a"
"187","Fam159b","old symbol","Shisal2b"
"188","Fam160a1","old symbol","Fhip1a"
"189","Fam160a2","old symbol","Fhip1b"
"190","Fam160b1","old symbol","Fhip2a"
"191","Fam160b2","old symbol","Fhip2b"
"192","Fam166a","old symbol","Cimip2a"
"193","Fam166b","old symbol","Cimip2b"
"194","Fam172a","old symbol","Arb2a"
"195","Fam173a","old symbol","Antkmt"
"196","Fam173b","old symbol","Atpsckmt"
"197","Fam183b","old symbol","Cfap144"
"198","Fam189a1","old symbol","Entrep2"
"199","Fam189a2","old symbol","Entrep1"
"200","Fam189b","old symbol","Entrep3"
"201","Fam192a","old symbol","Psme3ip1"
"202","Fam196a","old symbol","Insyn2a"
"203","Fam196b","old symbol","Insyn2b"
"204","Fam198a","old symbol","Gask1a"
"205","Fam198b","old symbol","Gask1b"
"206","Fam19a1","old symbol","Tafa1"
"207","Fam19a2","old symbol","Tafa2"
"208","Fam19a4","old symbol","Tafa4"
"209","Fam19a5","old symbol","Tafa5"
"210","Fam206a","old symbol","Abitram"
"211","Fam207a","old symbol","Slx9"
"212","Fam208a","old symbol","Tasor"
"213","Fam208b","old symbol","Tasor2"
"214","Fam212a","old symbol","Inka1"
"215","Fam212b","old symbol","Inka2"
"216","Fam213a","old symbol","Prxl2a"
"217","Fam213b","old symbol","Prxl2b"
"218","Fam214a","old symbol","Atosa"
"219","Fam214b","old symbol","Atosb"
"220","Fam26f","old symbol","Calhm6"
"221","Fam35a","old symbol","Shld2"
"222","Fam45a","old symbol","Dennd10"
"223","Fam46a","old symbol","Tent5a"
"224","Fam46b","old symbol","Tent5b"
"225","Fam46c","old symbol","Tent5c"
"226","Fam49a","old symbol","Cyria"
"227","Fam49b","old symbol","Cyrib"
"228","Fam57a","old symbol","Tlcd3a"
"229","Fam57b","old symbol","Tlcd3b"
"230","Fam60a","old symbol","Sinhcaf"
"231","Fam69a","old symbol","Dipk1a"
"232","Fam69b","old symbol","Dipk1b"
"233","Fam69c","old symbol","Dipk1c"
"234","Fam71a","old symbol","Garin4"
"235","Fam71b","old symbol","Garin3"
"236","Fam71d","old symbol","Garin2"
"237","Fam71e1","old symbol","Garin5a"
"238","Fam71f1","old symbol","Garin1b"
"239","Fam71f2","old symbol","Garin1a"
"240","Fam84a","old symbol","Lratd1"
"241","Fam84b","old symbol","Lratd2"
"242","Fam96a","old symbol","Ciao2a"
"243","Fam96b","old symbol","Ciao2b"
"248","Fbxo18","old symbol","Fbh1"
